slug,file,status,reason,notes
auto-insurance-calculator,/home/uc/Projects/calcdomain2/sito_modificato/auto-insurance-calculator.html,WARN,MISSING_FORMULAS,"Injected audit spine into article ; Missing formulas (review needed)"
awg-to-mm,/home/uc/Projects/calcdomain2/sito_modificato/awg-to-mm.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
axis-of-symmetry-calculator,/home/uc/Projects/calcdomain2/sito_modificato/axis-of-symmetry-calculator.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
bac,/home/uc/Projects/calcdomain2/sito_modificato/bac.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
bar-to-psi,/home/uc/Projects/calcdomain2/sito_modificato/bar-to-psi.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
barns-to-square-meters,/home/uc/Projects/calcdomain2/sito_modificato/barns-to-square-meters.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
barrels-to-gallons,/home/uc/Projects/calcdomain2/sito_modificato/barrels-to-gallons.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
base-converter,/home/uc/Projects/calcdomain2/sito_modificato/base-converter.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
bathroom-layout-calculator,/home/uc/Projects/calcdomain2/sito_modificato/bathroom-layout-calculator.html,WARN,MISSING_FORMULAS,"Injected audit spine into article ; Missing formulas (review needed)"
batting-average,/home/uc/Projects/calcdomain2/sito_modificato/batting-average.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into body ; Forbidden detected: OmniCalculator"
bayes-theorem,/home/uc/Projects/calcdomain2/sito_modificato/bayes-theorem.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
bayesian-inference,/home/uc/Projects/calcdomain2/sito_modificato/bayesian-inference.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
bayesian-network,/home/uc/Projects/calcdomain2/sito_modificato/bayesian-network.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
beam-deflection,/home/uc/Projects/calcdomain2/sito_modificato/beam-deflection.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into main ; Forbidden detected: OmniCalculator"
bearing,/home/uc/Projects/calcdomain2/sito_modificato/bearing.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
beaufort-scale,/home/uc/Projects/calcdomain2/sito_modificato/beaufort-scale.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
bfs,/home/uc/Projects/calcdomain2/sito_modificato/bfs.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
biblical-units-converter,/home/uc/Projects/calcdomain2/sito_modificato/biblical-units-converter.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
big-number,/home/uc/Projects/calcdomain2/sito_modificato/big-number.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
big-o,/home/uc/Projects/calcdomain2/sito_modificato/big-o.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
bike-cadence,/home/uc/Projects/calcdomain2/sito_modificato/bike-cadence.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
billiards-angle,/home/uc/Projects/calcdomain2/sito_modificato/billiards-angle.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
binary,/home/uc/Projects/calcdomain2/sito_modificato/binary.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
binomial-distribution,/home/uc/Projects/calcdomain2/sito_modificato/binomial-distribution.html,WARN,MISSING_SOURCES,"Injected audit spine into body ; Missing sources (review needed)"
biorhythm,/home/uc/Projects/calcdomain2/sito_modificato/biorhythm.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into article ; Forbidden detected: Calculator.net"
bisection-method,/home/uc/Projects/calcdomain2/sito_modificato/bisection-method.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
bishop-score,/home/uc/Projects/calcdomain2/sito_modificato/bishop-score.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
bits-to-bytes,/home/uc/Projects/calcdomain2/sito_modificato/bits-to-bytes.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
biweekly-mortgage,/home/uc/Projects/calcdomain2/sito_modificato/biweekly-mortgage.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
block-calculator,/home/uc/Projects/calcdomain2/sito_modificato/block-calculator.html,WARN,MISSING_FORMULAS,"Injected audit spine into body ; Missing formulas (review needed) ; Missing sources (review needed)"
blog,/home/uc/Projects/calcdomain2/sito_modificato/blog.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into article ; Forbidden detected: Investopedia ; Missing formulas (review needed)"
bmi-prime,/home/uc/Projects/calcdomain2/sito_modificato/bmi-prime.html,WARN,MISSING_SOURCES,"Injected audit spine into body ; Missing sources (review needed)"
board-game-score,/home/uc/Projects/calcdomain2/sito_modificato/board-game-score.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
bod,/home/uc/Projects/calcdomain2/sito_modificato/bod.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
bodybuilding-macro,/home/uc/Projects/calcdomain2/sito_modificato/bodybuilding-macro.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
bohr-model,/home/uc/Projects/calcdomain2/sito_modificato/bohr-model.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
bolt-torque,/home/uc/Projects/calcdomain2/sito_modificato/bolt-torque.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
bpd-to-gpm,/home/uc/Projects/calcdomain2/sito_modificato/bpd-to-gpm.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
braille-translator,/home/uc/Projects/calcdomain2/sito_modificato/braille-translator.html,WARN,MISSING_FORMULAS,"Injected audit spine into article ; Missing formulas (review needed)"
brewster-s-angle-calculator,/home/uc/Projects/calcdomain2/sito_modificato/brewster-s-angle-calculator.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into body ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
bridge-load-rating,/home/uc/Projects/calcdomain2/sito_modificato/bridge-load-rating.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
brrrr,/home/uc/Projects/calcdomain2/sito_modificato/brrrr.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
bsa,/home/uc/Projects/calcdomain2/sito_modificato/bsa.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
btu-to-calories,/home/uc/Projects/calcdomain2/sito_modificato/btu-to-calories.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
btu-to-joules-converter,/home/uc/Projects/calcdomain2/sito_modificato/btu-to-joules-converter.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
btu-to-joules,/home/uc/Projects/calcdomain2/sito_modificato/btu-to-joules.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
btu-to-kwh,/home/uc/Projects/calcdomain2/sito_modificato/btu-to-kwh.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
buckling-load,/home/uc/Projects/calcdomain2/sito_modificato/buckling-load.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
bullwhip-effect,/home/uc/Projects/calcdomain2/sito_modificato/bullwhip-effect.html,WARN,MISSING_SOURCES,"Injected audit spine into body ; Missing sources (review needed)"
bushels-to-liters,/home/uc/Projects/calcdomain2/sito_modificato/bushels-to-liters.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
business-valuation,/home/uc/Projects/calcdomain2/sito_modificato/business-valuation.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
cac,/home/uc/Projects/calcdomain2/sito_modificato/cac.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
caesar-cipher,/home/uc/Projects/calcdomain2/sito_modificato/caesar-cipher.html,WARN,MISSING_SOURCES,"Injected audit spine into body ; Missing sources (review needed)"
cake-pan-converter,/home/uc/Projects/calcdomain2/sito_modificato/cake-pan-converter.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into body ; Forbidden detected: OmniCalculator"
calculating-your-net-salary-from-ctc-cost-to-company-deductions-pf-esi-professional-tax-tds-understanding-your-payslip-faqs,/home/uc/Projects/calcdomain2/sito_modificato/calculating-your-net-salary-from-ctc-cost-to-company-deductions-pf-esi-professional-tax-tds-understanding-your-payslip-faqs.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
calculus,/home/uc/Projects/calcdomain2/sito_modificato/calculus.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
calorie-to-btu,/home/uc/Projects/calcdomain2/sito_modificato/calorie-to-btu.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
calories-to-joules,/home/uc/Projects/calcdomain2/sito_modificato/calories-to-joules.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
cam-design,/home/uc/Projects/calcdomain2/sito_modificato/cam-design.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
canada-income-tax,/home/uc/Projects/calcdomain2/sito_modificato/canada-income-tax.html,WARN,MISSING_SOURCES,"Injected audit spine into body ; Missing sources (review needed)"
cap-rate,/home/uc/Projects/calcdomain2/sito_modificato/cap-rate.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
capital-structure-optimization,/home/uc/Projects/calcdomain2/sito_modificato/capital-structure-optimization.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into main ; Forbidden detected: Investopedia"
capm,/home/uc/Projects/calcdomain2/sito_modificato/capm.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
car-insurance,/home/uc/Projects/calcdomain2/sito_modificato/car-insurance.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
carat-to-grams,/home/uc/Projects/calcdomain2/sito_modificato/carat-to-grams.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
cash-conversion-cycle,/home/uc/Projects/calcdomain2/sito_modificato/cash-conversion-cycle.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into main ; Forbidden detected: Investopedia"
cash-ratio,/home/uc/Projects/calcdomain2/sito_modificato/cash-ratio.html,WARN,MISSING_SOURCES,"Injected audit spine into body ; Missing sources (review needed)"
cash-secured-put,/home/uc/Projects/calcdomain2/sito_modificato/cash-secured-put.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
cat-age,/home/uc/Projects/calcdomain2/sito_modificato/cat-age.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into main ; Forbidden detected: OmniCalculator"
cat-dosage,/home/uc/Projects/calcdomain2/sito_modificato/cat-dosage.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
cbm,/home/uc/Projects/calcdomain2/sito_modificato/cbm.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
celsius-to-fahrenheit,/home/uc/Projects/calcdomain2/sito_modificato/celsius-to-fahrenheit.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
celsius-to-kelvin,/home/uc/Projects/calcdomain2/sito_modificato/celsius-to-kelvin.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
central-angle-calculator,/home/uc/Projects/calcdomain2/sito_modificato/central-angle-calculator.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
central-limit-theorem,/home/uc/Projects/calcdomain2/sito_modificato/central-limit-theorem.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
centripetal-force,/home/uc/Projects/calcdomain2/sito_modificato/centripetal-force.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into article ; Forbidden detected: OmniCalculator"
cfm-to-lps,/home/uc/Projects/calcdomain2/sito_modificato/cfm-to-lps.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
chains-to-feet,/home/uc/Projects/calcdomain2/sito_modificato/chains-to-feet.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
checksum-calculator,/home/uc/Projects/calcdomain2/sito_modificato/checksum-calculator.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
chinese-remainder-theorem,/home/uc/Projects/calcdomain2/sito_modificato/chinese-remainder-theorem.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
cholesterol-calculator,/home/uc/Projects/calcdomain2/sito_modificato/cholesterol-calculator.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into article ; Forbidden detected: OmniCalculator"
chord-calculator,/home/uc/Projects/calcdomain2/sito_modificato/chord-calculator.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
churn-rate,/home/uc/Projects/calcdomain2/sito_modificato/churn-rate.html,WARN,MISSING_SOURCES,"Injected audit spine into body ; Missing sources (review needed)"
ci-to-bq,/home/uc/Projects/calcdomain2/sito_modificato/ci-to-bq.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
circle-calculator,/home/uc/Projects/calcdomain2/sito_modificato/circle-calculator.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
circular-sector-area,/home/uc/Projects/calcdomain2/sito_modificato/circular-sector-area.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
circular-segment-area,/home/uc/Projects/calcdomain2/sito_modificato/circular-segment-area.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
clausius-clapeyron,/home/uc/Projects/calcdomain2/sito_modificato/clausius-clapeyron.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
clv,/home/uc/Projects/calcdomain2/sito_modificato/clv.html,WARN,MISSING_SOURCES,"Injected audit spine into body ; Missing sources (review needed)"
cm-to-inches,/home/uc/Projects/calcdomain2/sito_modificato/cm-to-inches.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
cochrans-q-test,/home/uc/Projects/calcdomain2/sito_modificato/cochrans-q-test.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
cohen-s-d-calculator,/home/uc/Projects/calcdomain2/sito_modificato/cohen-s-d-calculator.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
cohen-s-kappa-calculator,/home/uc/Projects/calcdomain2/sito_modificato/cohen-s-kappa-calculator.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
collatz-conjecture,/home/uc/Projects/calcdomain2/sito_modificato/collatz-conjecture.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
color-code-converter,/home/uc/Projects/calcdomain2/sito_modificato/color-code-converter.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
combination-and-permutation,/home/uc/Projects/calcdomain2/sito_modificato/combination-and-permutation.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
combination-calculator,/home/uc/Projects/calcdomain2/sito_modificato/combination-calculator.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
commercial-lease,/home/uc/Projects/calcdomain2/sito_modificato/commercial-lease.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into article ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
commercial-real-estate-pro-forma,/home/uc/Projects/calcdomain2/sito_modificato/commercial-real-estate-pro-forma.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
comparable-company-analysis,/home/uc/Projects/calcdomain2/sito_modificato/comparable-company-analysis.html,WARN,MISSING_SOURCES,"Injected audit spine into body ; Missing sources (review needed)"
composite-beam-design,/home/uc/Projects/calcdomain2/sito_modificato/composite-beam-design.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
compton-scattering,/home/uc/Projects/calcdomain2/sito_modificato/compton-scattering.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
concrete-footing,/home/uc/Projects/calcdomain2/sito_modificato/concrete-footing.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
concrete-mix,/home/uc/Projects/calcdomain2/sito_modificato/concrete-mix.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
cone-volume-calculator,/home/uc/Projects/calcdomain2/sito_modificato/cone-volume-calculator.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
construction-delay-analysis,/home/uc/Projects/calcdomain2/sito_modificato/construction-delay-analysis.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
contact,/home/uc/Projects/calcdomain2/sito_modificato/contact.html,WARN,MISSING_FORMULAS,"Injected audit spine into main ; Missing formulas (review needed)"
continued-fraction,/home/uc/Projects/calcdomain2/sito_modificato/continued-fraction.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
control-premium,/home/uc/Projects/calcdomain2/sito_modificato/control-premium.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
conversions-area,/home/uc/Projects/calcdomain2/sito_modificato/conversions-area.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
conversions-bandwidth-and-data-rate,/home/uc/Projects/calcdomain2/sito_modificato/conversions-bandwidth-and-data-rate.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
conversions-data-storage,/home/uc/Projects/calcdomain2/sito_modificato/conversions-data-storage.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
conversions-density,/home/uc/Projects/calcdomain2/sito_modificato/conversions-density.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
conversions-energy-and-heat,/home/uc/Projects/calcdomain2/sito_modificato/conversions-energy-and-heat.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
conversions-flow-rate,/home/uc/Projects/calcdomain2/sito_modificato/conversions-flow-rate.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
conversions-force-and-torque,/home/uc/Projects/calcdomain2/sito_modificato/conversions-force-and-torque.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
conversions-historical-and-specialized-units,/home/uc/Projects/calcdomain2/sito_modificato/conversions-historical-and-specialized-units.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
conversions-length-and-distance,/home/uc/Projects/calcdomain2/sito_modificato/conversions-length-and-distance.html,WARN,MISSING_FORMULAS,"Injected audit spine into body ; Missing formulas (review needed) ; Missing sources (review needed)"
conversions-magnetism,/home/uc/Projects/calcdomain2/sito_modificato/conversions-magnetism.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
conversions-mass-and-weight,/home/uc/Projects/calcdomain2/sito_modificato/conversions-mass-and-weight.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
conversions-pressure,/home/uc/Projects/calcdomain2/sito_modificato/conversions-pressure.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
conversions-radiation-and-dose,/home/uc/Projects/calcdomain2/sito_modificato/conversions-radiation-and-dose.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
conversions-speed,/home/uc/Projects/calcdomain2/sito_modificato/conversions-speed.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
conversions-temperature,/home/uc/Projects/calcdomain2/sito_modificato/conversions-temperature.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
conversions-typography-and-web,/home/uc/Projects/calcdomain2/sito_modificato/conversions-typography-and-web.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
conversions-viscosity,/home/uc/Projects/calcdomain2/sito_modificato/conversions-viscosity.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
conversions-volume-and-capacity,/home/uc/Projects/calcdomain2/sito_modificato/conversions-volume-and-capacity.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
convolution,/home/uc/Projects/calcdomain2/sito_modificato/convolution.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
